Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 5565: {'11': 883, '10': 71, '00': 52, '01': 18}
Counts for pub 5566: {'00': 240, '10': 197, '11': 487, '01': 100}
Counts for pub 5567: {'00': 430, '11': 513, '10': 53, '01': 28}
Counts for pub 5568: {'10': 233, '00': 365, '01': 196, '11': 230}
Counts for pub 5569: {'00': 781, '01': 40, '11': 182, '10': 21}
Counts for pub 5570: {'01': 289, '00': 398, '11': 193, '10': 144}
Counts for pub 5571: {'11': 508, '01': 63, '00': 386, '10': 67}
Counts for pub 5572: {'00': 1011, '10': 11, '01': 2}
Counts for pub 5573: {'01': 269, '11': 182, '10': 428, '00': 145}
Counts for pub 5574: {'01': 484, '00': 215, '11': 228, '10': 97}
Counts for pub 5575: {'10': 559, '00': 318, '11': 93, '01': 54}
Counts for pub 5576: {'11': 719, '01': 35, '00': 231, '10': 39}
Counts for pub 5577: {'00': 588, '11': 205, '10': 143, '01': 88}
Counts for pub 5578: {'10': 348, '11': 651, '00': 14, '01': 11}
Counts for pub 5579: {'11': 278, '01': 261, '10': 221, '00': 264}
Counts for pub 5580: {'00': 217, '01': 755, '10': 32, '11': 20}
Counts for pub 5581: {'10': 16, '00': 807, '01': 38, '11': 163}
Counts for pub 5582: {'10': 51, '00': 525, '11': 418, '01': 30}
Counts for pub 5583: {'00': 467, '01': 528, '11': 17, '10': 12}
Counts for pub 5584: {'11': 297, '10': 225, '01': 226, '00': 276}
Counts for pub 5585: {'11': 814, '01': 112, '10': 48, '00': 50}
Counts for pub 5586: {'10': 227, '00': 397, '11': 210, '01': 190}
Counts for pub 5587: {'00': 173, '01': 212, '10': 397, '11': 242}
Counts for pub 5588: {'00': 1010, '10': 9, '01': 5}
Counts for pub 5589: {'00': 1014, '10': 10}
Counts for pub 5590: {'10': 359, '00': 583, '01': 35, '11': 47}
Counts for pub 5591: {'10': 254, '11': 580, '00': 112, '01': 78}
Counts for pub 5592: {'00': 389, '10': 336, '01': 162, '11': 137}
Counts for pub 5593: {'00': 634, '10': 108, '11': 228, '01': 54}
Counts for pub 5594: {'00': 589, '10': 359, '11': 32, '01': 44}
Counts for pub 5595: {'00': 588, '10': 173, '01': 183, '11': 80}
Counts for pub 5596: {'00': 280, '11': 600, '01': 96, '10': 48}
Counts for pub 5597: {'11': 145, '01': 377, '10': 364, '00': 138}
Counts for pub 5598: {'00': 419, '01': 145, '11': 342, '10': 118}
Counts for pub 5599: {'11': 471, '00': 414, '01': 74, '10': 65}
Counts for pub 5600: {'01': 354, '11': 411, '00': 130, '10': 129}
Counts for pub 5601: {'01': 202, '10': 359, '00': 145, '11': 318}
Counts for pub 5602: {'10': 387, '11': 134, '01': 333, '00': 170}
Counts for pub 5603: {'10': 244, '00': 376, '01': 179, '11': 225}
Counts for pub 5604: {'00': 1011, '10': 6, '01': 7}
Counts for pub 5605: {'10': 326, '11': 54, '00': 577, '01': 67}
Counts for pub 5606: {'00': 564, '10': 329, '11': 59, '01': 72}
Counts for pub 5607: {'00': 546, '11': 272, '01': 137, '10': 69}
Counts for pub 5608: {'10': 322, '00': 557, '01': 71, '11': 74}
Counts for pub 5609: {'00': 573, '10': 59, '11': 257, '01': 135}
Counts for pub 5610: {'11': 355, '10': 211, '00': 224, '01': 234}
Counts for pub 5611: {'01': 238, '10': 201, '00': 240, '11': 345}
Counts for pub 5612: {'11': 279, '00': 203, '10': 178, '01': 364}
Counts for pub 5613: {'01': 164, '00': 690, '10': 100, '11': 70}
Counts for pub 5614: {'10': 290, '11': 544, '01': 106, '00': 84}
Counts for pub 5615: {'01': 188, '00': 377, '10': 251, '11': 208}
Counts for pub 5616: {'00': 209, '01': 241, '10': 204, '11': 370}
Counts for pub 5617: {'11': 160, '01': 494, '00': 129, '10': 241}
Counts for pub 5618: {'11': 410, '10': 545, '00': 39, '01': 30}
Counts for pub 5619: {'11': 379, '10': 394, '01': 125, '00': 126}
Counts for pub 5620: {'11': 606, '00': 295, '01': 64, '10': 59}
Counts for pub 5621: {'01': 139, '11': 435, '00': 355, '10': 95}
Counts for pub 5622: {'11': 276, '10': 289, '01': 227, '00': 232}
Counts for pub 5623: {'00': 368, '11': 364, '01': 157, '10': 135}
Counts for pub 5624: {'00': 940, '01': 35, '10': 11, '11': 38}
Counts for pub 5625: {'10': 418, '01': 402, '00': 93, '11': 111}
Counts for pub 5626: {'11': 393, '01': 380, '10': 128, '00': 123}
Counts for pub 5627: {'01': 382, '10': 437, '11': 98, '00': 107}
Counts for pub 5628: {'11': 285, '10': 229, '01': 244, '00': 266}
Counts for pub 5629: {'10': 316, '00': 581, '11': 50, '01': 77}
Counts for pub 5630: {'11': 347, '01': 332, '10': 171, '00': 174}
Counts for pub 5631: {'01': 537, '10': 177, '11': 212, '00': 98}
Counts for pub 5632: {'00': 172, '11': 590, '10': 191, '01': 71}
Counts for pub 5633: {'01': 166, '00': 368, '11': 248, '10': 242}
Counts for pub 5634: {'01': 193, '11': 217, '00': 394, '10': 220}
Counts for pub 5635: {'00': 922, '11': 31, '01': 62, '10': 9}
Counts for pub 5636: {'11': 569, '01': 322, '10': 86, '00': 47}
Counts for pub 5637: {'11': 592, '10': 269, '00': 63, '01': 100}
Counts for pub 5638: {'01': 345, '10': 146, '11': 392, '00': 141}
Counts for pub 5639: {'00': 911, '01': 54, '11': 43, '10': 16}
Counts for pub 5640: {'01': 559, '00': 106, '10': 162, '11': 197}
Counts for pub 5641: {'01': 357, '11': 398, '00': 141, '10': 128}
Counts for pub 5642: {'00': 561, '10': 334, '01': 75, '11': 54}
Counts for pub 5643: {'11': 462, '10': 103, '00': 354, '01': 105}
Counts for pub 5644: {'11': 231, '00': 226, '01': 266, '10': 301}
Counts for pub 5645: {'11': 426, '10': 137, '01': 322, '00': 139}
Counts for pub 5646: {'00': 329, '11': 261, '01': 216, '10': 218}
Counts for pub 5647: {'01': 369, '11': 406, '00': 134, '10': 115}
Counts for pub 5648: {'00': 755, '11': 156, '01': 91, '10': 22}
Counts for pub 5649: {'00': 407, '01': 146, '11': 244, '10': 227}
Counts for pub 5650: {'00': 555, '01': 270, '10': 111, '11': 88}
Counts for pub 5651: {'00': 367, '01': 183, '10': 248, '11': 226}
Counts for pub 5652: {'01': 40, '11': 55, '00': 589, '10': 340}
Counts for pub 5653: {'10': 253, '11': 189, '01': 436, '00': 146}
Counts for pub 5654: {'11': 581, '00': 159, '01': 110, '10': 174}
Counts for pub 5655: {'10': 742, '11': 233, '01': 30, '00': 19}
Counts for pub 5656: {'00': 361, '10': 111, '11': 449, '01': 103}
Counts for pub 5657: {'10': 669, '00': 191, '11': 95, '01': 69}
Counts for pub 5658: {'01': 207, '00': 157, '10': 300, '11': 360}
Counts for pub 5659: {'10': 60, '00': 560, '11': 231, '01': 173}
Counts for pub 5660: {'00': 210, '10': 149, '01': 478, '11': 187}
Counts for pub 5661: {'00': 580, '10': 330, '11': 52, '01': 62}
Counts for pub 5662: {'00': 266, '11': 569, '10': 80, '01': 109}
Counts for pub 5663: {'11': 287, '10': 179, '00': 235, '01': 323}
Counts for pub 5664: {'00': 547, '01': 163, '11': 236, '10': 78}
Counts for pub 5665: {'11': 236, '00': 115, '10': 149, '01': 524}
Counts for pub 5666: {'00': 768, '10': 20, '11': 123, '01': 113}
Counts for pub 5667: {'10': 426, '11': 420, '01': 88, '00': 90}
Counts for pub 5668: {'10': 348, '00': 574, '11': 62, '01': 40}
Counts for pub 5669: {'10': 294, '00': 635, '11': 48, '01': 47}
Counts for pub 5670: {'00': 1015, '10': 7, '01': 2}
Counts for pub 5671: {'00': 168, '11': 281, '10': 242, '01': 333}
Counts for pub 5672: {'01': 422, '10': 406, '11': 99, '00': 97}
Counts for pub 5673: {'11': 395, '01': 75, '10': 78, '00': 476}
Counts for pub 5674: {'00': 763, '10': 32, '11': 148, '01': 81}
Counts for pub 5675: {'01': 175, '10': 453, '00': 163, '11': 233}
Counts for pub 5676: {'10': 369, '01': 361, '00': 149, '11': 145}
Counts for pub 5677: {'11': 266, '00': 590, '01': 75, '10': 93}
Counts for pub 5678: {'00': 317, '01': 219, '10': 293, '11': 195}
Counts for pub 5679: {'10': 231, '00': 367, '01': 186, '11': 240}
Counts for pub 5680: {'00': 545, '01': 446, '10': 14, '11': 19}
Counts for pub 5681: {'00': 120, '11': 481, '01': 287, '10': 136}
Counts for pub 5682: {'00': 677, '01': 279, '10': 35, '11': 33}
Counts for pub 5683: {'11': 72, '01': 470, '00': 404, '10': 78}
Counts for pub 5684: {'10': 215, '11': 281, '01': 335, '00': 193}
Counts for pub 5685: {'11': 272, '01': 201, '10': 243, '00': 308}
Counts for pub 5686: {'10': 211, '11': 264, '01': 229, '00': 320}
Counts for pub 5687: {'10': 470, '01': 74, '11': 66, '00': 414}
Counts for pub 5688: {'00': 305, '10': 217, '11': 292, '01': 210}
Counts for pub 5689: {'01': 226, '10': 278, '11': 183, '00': 337}
Counts for pub 5690: {'00': 305, '01': 666, '10': 22, '11': 31}
Counts for pub 5691: {'01': 666, '00': 314, '11': 30, '10': 14}
Counts for pub 5692: {'10': 737, '01': 189, '00': 37, '11': 61}
Counts for pub 5693: {'11': 304, '01': 160, '10': 359, '00': 201}
Counts for pub 5694: {'10': 763, '00': 118, '11': 60, '01': 83}
Counts for pub 5695: {'01': 482, '00': 385, '11': 76, '10': 81}
Counts for pub 5696: {'01': 676, '11': 35, '00': 309, '10': 4}
Counts for pub 5697: {'01': 750, '00': 43, '10': 102, '11': 129}
Counts for pub 5698: {'10': 469, '11': 169, '00': 205, '01': 181}
Counts for pub 5699: {'00': 131, '11': 162, '01': 668, '10': 63}
Counts for pub 5700: {'00': 691, '10': 263, '01': 47, '11': 23}
Counts for pub 5701: {'00': 662, '01': 190, '11': 52, '10': 120}
Counts for pub 5702: {'00': 74, '10': 355, '01': 521, '11': 74}
Counts for pub 5703: {'00': 481, '01': 400, '11': 71, '10': 72}
Counts for pub 5704: {'01': 274, '00': 246, '11': 251, '10': 253}
Counts for pub 5705: {'11': 319, '00': 157, '10': 421, '01': 127}
Counts for pub 5706: {'00': 541, '01': 436, '10': 19, '11': 28}
Counts for pub 5707: {'10': 401, '01': 128, '11': 308, '00': 187}
Counts for pub 5708: {'00': 394, '01': 592, '11': 22, '10': 16}
Counts for pub 5709: {'00': 273, '01': 214, '11': 302, '10': 235}
Counts for pub 5710: {'10': 455, '11': 36, '01': 508, '00': 25}
Counts for pub 5711: {'00': 562, '01': 376, '10': 41, '11': 45}
Counts for pub 5712: {'11': 292, '01': 491, '00': 84, '10': 157}
Counts for pub 5713: {'11': 819, '10': 155, '01': 40, '00': 10}
Counts for pub 5714: {'00': 380, '01': 504, '11': 63, '10': 77}
Counts for pub 5715: {'10': 286, '00': 244, '01': 249, '11': 245}
Counts for pub 5716: {'01': 29, '00': 581, '11': 379, '10': 35}
Counts for pub 5717: {'10': 156, '01': 480, '11': 156, '00': 232}
Counts for pub 5718: {'00': 546, '01': 440, '10': 18, '11': 20}
Counts for pub 5719: {'01': 333, '00': 227, '11': 267, '10': 197}
Counts for pub 5720: {'00': 534, '01': 419, '11': 33, '10': 38}
Counts for pub 5721: {'00': 516, '01': 462, '10': 25, '11': 21}
Counts for pub 5722: {'11': 301, '01': 218, '00': 309, '10': 196}
Counts for pub 5723: {'10': 796, '00': 132, '11': 82, '01': 14}
Counts for pub 5724: {'10': 891, '01': 58, '00': 40, '11': 35}
Counts for pub 5725: {'01': 413, '00': 567, '11': 26, '10': 18}
Counts for pub 5726: {'00': 200, '01': 672, '11': 87, '10': 65}
Counts for pub 5727: {'11': 723, '00': 186, '10': 82, '01': 33}
Counts for pub 5728: {'00': 336, '11': 144, '10': 393, '01': 151}
Counts for pub 5729: {'11': 826, '10': 158, '01': 34, '00': 6}
Counts for pub 5730: {'11': 264, '00': 519, '01': 89, '10': 152}
Counts for pub 5731: {'01': 467, '11': 77, '10': 90, '00': 390}
Counts for pub 5732: {'01': 74, '11': 645, '00': 96, '10': 209}
Counts for pub 5733: {'01': 784, '11': 118, '00': 29, '10': 93}
Counts for pub 5734: {'10': 847, '00': 129, '11': 24, '01': 24}
Counts for pub 5735: {'10': 305, '00': 302, '11': 196, '01': 221}
Counts for pub 5736: {'00': 699, '10': 106, '01': 181, '11': 38}
Counts for pub 5737: {'01': 270, '00': 324, '10': 205, '11': 225}
Counts for pub 5738: {'01': 634, '00': 134, '10': 182, '11': 74}
Counts for pub 5739: {'10': 452, '00': 421, '01': 81, '11': 70}
Counts for pub 5740: {'11': 628, '00': 52, '01': 72, '10': 272}
Counts for pub 5741: {'11': 297, '01': 208, '00': 322, '10': 197}
Counts for pub 5742: {'10': 249, '11': 501, '01': 145, '00': 129}
Counts for pub 5743: {'10': 714, '11': 61, '01': 214, '00': 35}
Counts for pub 5744: {'01': 76, '10': 485, '00': 389, '11': 74}
Counts for pub 5745: {'00': 579, '01': 378, '11': 28, '10': 39}
Counts for pub 5746: {'11': 136, '10': 384, '01': 181, '00': 323}
Counts for pub 5747: {'11': 421, '00': 253, '10': 167, '01': 183}
Counts for pub 5748: {'11': 608, '00': 110, '10': 230, '01': 76}
Counts for pub 5749: {'10': 236, '11': 601, '00': 122, '01': 65}
Counts for pub 5750: {'10': 219, '11': 282, '01': 314, '00': 209}
Counts for pub 5751: {'00': 1008, '10': 12, '01': 4}
Counts for pub 5752: {'10': 432, '00': 149, '11': 307, '01': 136}
Counts for pub 5753: {'01': 159, '10': 321, '11': 419, '00': 125}
Counts for pub 5754: {'01': 301, '00': 281, '11': 257, '10': 185}
Counts for pub 5755: {'11': 262, '10': 660, '00': 75, '01': 27}
Counts for pub 5756: {'00': 689, '01': 252, '11': 37, '10': 46}
Counts for pub 5757: {'01': 123, '10': 537, '00': 122, '11': 242}
Counts for pub 5758: {'00': 192, '01': 602, '11': 63, '10': 167}
Counts for pub 5759: {'01': 482, '00': 403, '10': 76, '11': 63}
Counts for pub 5760: {'01': 298, '11': 586, '10': 65, '00': 75}
Counts for pub 5761: {'11': 742, '00': 48, '10': 109, '01': 125}
Counts for pub 5762: {'11': 776, '01': 127, '10': 103, '00': 18}
Counts for pub 5763: {'11': 540, '00': 28, '01': 429, '10': 27}
Counts for pub 5764: {'01': 387, '00': 105, '11': 104, '10': 428}
Counts for pub 5765: {'00': 196, '10': 165, '11': 356, '01': 307}
Counts for pub 5766: {'01': 311, '11': 370, '00': 193, '10': 150}
Counts for pub 5767: {'01': 389, '00': 570, '10': 38, '11': 27}
Counts for pub 5768: {'11': 365, '00': 195, '10': 154, '01': 310}
Counts for pub 5769: {'10': 922, '11': 28, '00': 46, '01': 28}
Counts for pub 5770: {'01': 421, '11': 491, '00': 59, '10': 53}
Counts for pub 5771: {'01': 391, '00': 52, '11': 533, '10': 48}
Counts for pub 5772: {'00': 369, '11': 209, '01': 198, '10': 248}
Counts for pub 5773: {'01': 194, '10': 595, '11': 76, '00': 159}
Counts for pub 5774: {'00': 564, '10': 76, '01': 209, '11': 175}
Counts for pub 5775: {'01': 434, '11': 533, '00': 27, '10': 30}
Counts for pub 5776: {'11': 481, '01': 449, '10': 44, '00': 50}
Counts for pub 5777: {'00': 386, '01': 267, '11': 166, '10': 205}
Counts for pub 5778: {'00': 610, '11': 306, '01': 66, '10': 42}
Counts for pub 5779: {'01': 566, '10': 121, '00': 123, '11': 214}
Counts for pub 5780: {'01': 533, '00': 274, '11': 125, '10': 92}
Counts for pub 5781: {'11': 317, '01': 543, '00': 109, '10': 55}
Counts for pub 5782: {'00': 207, '11': 492, '01': 183, '10': 142}
Counts for pub 5783: {'01': 609, '11': 385, '00': 19, '10': 11}
Counts for pub 5784: {'11': 117, '00': 203, '01': 465, '10': 239}
Counts for pub 5785: {'01': 3, '00': 1009, '10': 12}
Counts for pub 5786: {'10': 45, '01': 287, '11': 611, '00': 81}
Counts for pub 5787: {'00': 1014, '10': 7, '01': 3}
Counts for pub 5788: {'01': 363, '11': 648, '10': 9, '00': 4}
Counts for pub 5789: {'01': 316, '11': 356, '10': 173, '00': 179}
Counts for pub 5790: {'11': 402, '10': 224, '00': 225, '01': 173}
Counts for pub 5791: {'11': 744, '01': 134, '00': 98, '10': 48}
Counts for pub 5792: {'10': 333, '11': 575, '00': 75, '01': 41}
Counts for pub 5793: {'00': 437, '11': 110, '01': 129, '10': 348}
Counts for pub 5794: {'00': 25, '11': 522, '01': 450, '10': 27}
Counts for pub 5795: {'10': 242, '01': 470, '11': 100, '00': 212}
Counts for pub 5796: {'10': 253, '00': 249, '11': 249, '01': 273}
Counts for pub 5797: {'11': 169, '10': 278, '01': 435, '00': 142}
Counts for pub 5798: {'01': 348, '11': 555, '10': 57, '00': 64}
Counts for pub 5799: {'10': 620, '01': 278, '00': 56, '11': 70}
Counts for pub 5800: {'11': 756, '01': 124, '10': 64, '00': 80}
Counts for pub 5801: {'01': 326, '00': 64, '11': 573, '10': 61}
Counts for pub 5802: {'01': 317, '11': 359, '00': 177, '10': 171}
Counts for pub 5803: {'01': 678, '00': 304, '11': 32, '10': 10}
Counts for pub 5804: {'00': 371, '11': 176, '01': 191, '10': 286}
Counts for pub 5805: {'01': 331, '11': 577, '00': 58, '10': 58}
Counts for pub 5806: {'11': 358, '01': 598, '10': 27, '00': 41}
Counts for pub 5807: {'11': 173, '01': 205, '00': 415, '10': 231}
Counts for pub 5808: {'11': 92, '01': 459, '10': 83, '00': 390}
Counts for pub 5809: {'10': 351, '00': 473, '11': 78, '01': 122}
Counts for pub 5810: {'10': 204, '00': 419, '01': 209, '11': 192}
Counts for pub 5811: {'11': 543, '01': 424, '10': 28, '00': 29}
Counts for pub 5812: {'10': 344, '01': 154, '11': 161, '00': 365}
Counts for pub 5813: {'01': 389, '00': 245, '10': 141, '11': 249}
Counts for pub 5814: {'01': 355, '00': 520, '11': 82, '10': 67}
Counts for pub 5815: {'11': 303, '00': 667, '01': 26, '10': 28}
Counts for pub 5816: {'00': 103, '11': 301, '01': 555, '10': 65}
Counts for pub 5817: {'11': 670, '00': 237, '01': 72, '10': 45}
Counts for pub 5818: {'11': 325, '10': 222, '01': 260, '00': 217}
Counts for pub 5819: {'01': 376, '00': 572, '11': 40, '10': 36}
Counts for pub 5820: {'11': 481, '10': 72, '00': 111, '01': 360}
Counts for pub 5821: {'11': 366, '00': 181, '01': 294, '10': 183}
Counts for pub 5822: {'10': 658, '00': 244, '11': 66, '01': 56}
Counts for pub 5823: {'00': 355, '10': 214, '01': 229, '11': 226}
Counts for pub 5824: {'01': 399, '00': 537, '11': 47, '10': 41}
Counts for pub 5825: {'11': 747, '00': 101, '01': 118, '10': 58}
Counts for pub 5826: {'00': 390, '11': 83, '01': 430, '10': 121}
Counts for pub 5827: {'10': 159, '11': 573, '01': 156, '00': 136}
Counts for pub 5828: {'10': 296, '01': 157, '11': 169, '00': 402}
Counts for pub 5829: {'10': 320, '00': 371, '11': 180, '01': 153}
Counts for pub 5830: {'01': 401, '00': 105, '10': 414, '11': 104}
Counts for pub 5831: {'00': 171, '01': 132, '10': 397, '11': 324}
Counts for pub 5832: {'00': 1013, '10': 8, '01': 3}
Counts for pub 5833: {'00': 206, '10': 775, '11': 34, '01': 9}
Counts for pub 5834: {'10': 818, '00': 42, '01': 124, '11': 40}
Counts for pub 5835: {'00': 803, '11': 92, '10': 76, '01': 53}
Counts for pub 5836: {'11': 787, '01': 117, '10': 98, '00': 22}
Counts for pub 5837: {'01': 849, '10': 60, '00': 71, '11': 44}
Counts for pub 5838: {'11': 562, '10': 69, '00': 83, '01': 310}
Counts for pub 5839: {'00': 25, '01': 447, '11': 532, '10': 20}
Counts for pub 5840: {'01': 210, '00': 69, '11': 712, '10': 33}
Counts for pub 5841: {'01': 774, '00': 194, '10': 39, '11': 17}
Counts for pub 5842: {'01': 440, '11': 520, '10': 27, '00': 37}
Counts for pub 5843: {'11': 819, '01': 107, '00': 49, '10': 49}
Counts for pub 5844: {'00': 434, '11': 421, '01': 93, '10': 76}
Counts for pub 5845: {'10': 48, '00': 311, '11': 558, '01': 107}
Counts for pub 5846: {'11': 575, '00': 285, '10': 63, '01': 101}
Counts for pub 5847: {'11': 479, '10': 415, '01': 64, '00': 66}
Counts for pub 5848: {'00': 304, '11': 569, '10': 56, '01': 95}
Counts for pub 5849: {'00': 878, '01': 48, '11': 25, '10': 73}
Counts for pub 5850: {'10': 102, '11': 734, '00': 52, '01': 136}
Counts for pub 5851: {'11': 738, '01': 125, '10': 114, '00': 47}
Counts for pub 5852: {'00': 374, '01': 241, '11': 213, '10': 196}
Counts for pub 5853: {'00': 782, '11': 191, '01': 37, '10': 14}
Counts for pub 5854: {'10': 316, '01': 203, '00': 249, '11': 256}
Counts for pub 5855: {'10': 49, '11': 809, '01': 126, '00': 40}
Counts for pub 5856: {'01': 138, '11': 733, '10': 91, '00': 62}
Counts for pub 5857: {'10': 661, '00': 49, '11': 279, '01': 35}
Counts for pub 5858: {'10': 471, '01': 234, '11': 142, '00': 177}
Counts for pub 5859: {'00': 89, '11': 716, '10': 190, '01': 29}
Counts for pub 5860: {'11': 803, '00': 15, '10': 198, '01': 8}
Counts for pub 5861: {'11': 908, '01': 47, '10': 66, '00': 3}
Counts for pub 5862: {'01': 210, '00': 203, '11': 427, '10': 184}
Counts for pub 5863: {'11': 943, '01': 45, '00': 4, '10': 32}
Counts for pub 5864: {'11': 505, '00': 302, '01': 104, '10': 113}
Counts for pub 5865: {'10': 763, '11': 30, '00': 214, '01': 17}
Counts for pub 5866: {'00': 74, '11': 727, '10': 33, '01': 190}
Counts for pub 5867: {'10': 746, '00': 230, '11': 35, '01': 13}
Counts for pub 5868: {'11': 762, '01': 196, '10': 48, '00': 18}
Counts for pub 5869: {'11': 550, '00': 309, '01': 102, '10': 63}
Counts for pub 5870: {'10': 229, '11': 335, '00': 233, '01': 227}
Counts for pub 5871: {'11': 479, '01': 441, '10': 54, '00': 50}
Counts for pub 5872: {'00': 401, '11': 112, '01': 396, '10': 115}
Counts for pub 5873: {'00': 797, '10': 126, '01': 77, '11': 24}
Counts for pub 5874: {'11': 810, '00': 47, '01': 123, '10': 44}
Counts for pub 5875: {'11': 522, '10': 135, '00': 251, '01': 116}
Counts for pub 5876: {'11': 273, '01': 215, '10': 190, '00': 346}
Counts for pub 5877: {'11': 612, '00': 276, '10': 95, '01': 41}
Counts for pub 5878: {'11': 743, '10': 31, '01': 182, '00': 68}
Counts for pub 5879: {'00': 657, '11': 260, '01': 44, '10': 63}
Counts for pub 5880: {'01': 404, '00': 55, '11': 524, '10': 41}
Counts for pub 5881: {'11': 716, '10': 37, '01': 207, '00': 64}
Counts for pub 5882: {'00': 311, '11': 568, '10': 63, '01': 82}
Counts for pub 5883: {'11': 504, '10': 109, '01': 338, '00': 73}
Counts for pub 5884: {'00': 442, '01': 414, '11': 87, '10': 81}
Counts for pub 5885: {'01': 190, '11': 722, '00': 81, '10': 31}
Counts for pub 5886: {'11': 816, '10': 159, '01': 37, '00': 12}
Counts for pub 5887: {'00': 590, '10': 179, '11': 94, '01': 161}
Counts for pub 5888: {'10': 257, '11': 559, '00': 138, '01': 70}
Counts for pub 5889: {'00': 788, '10': 115, '11': 26, '01': 95}
Counts for pub 5890: {'11': 320, '10': 451, '01': 153, '00': 100}
Counts for pub 5891: {'11': 812, '00': 48, '01': 123, '10': 41}
Counts for pub 5892: {'10': 117, '00': 615, '11': 235, '01': 57}
Counts for pub 5893: {'10': 513, '11': 435, '01': 42, '00': 34}
Counts for pub 5894: {'10': 280, '01': 219, '11': 351, '00': 174}
Counts for pub 5895: {'10': 644, '00': 79, '01': 246, '11': 55}
Counts for pub 5896: {'11': 911, '01': 42, '10': 68, '00': 3}
Counts for pub 5897: {'01': 427, '10': 142, '00': 135, '11': 320}
Counts for pub 5898: {'01': 138, '00': 251, '10': 173, '11': 462}
Counts for pub 5899: {'10': 418, '11': 482, '01': 63, '00': 61}
Counts for pub 5900: {'01': 736, '00': 105, '11': 74, '10': 109}
Counts for pub 5901: {'01': 89, '00': 293, '10': 83, '11': 559}
Counts for pub 5902: {'00': 933, '11': 41, '01': 34, '10': 16}
Counts for pub 5903: {'10': 208, '01': 258, '11': 214, '00': 344}
Counts for pub 5904: {'11': 476, '00': 66, '01': 77, '10': 405}
Counts for pub 5905: {'01': 406, '11': 493, '10': 58, '00': 67}
Counts for pub 5906: {'11': 551, '00': 121, '10': 267, '01': 85}
Counts for pub 5907: {'00': 173, '11': 55, '01': 626, '10': 170}
Counts for pub 5908: {'00': 639, '10': 132, '01': 58, '11': 195}
Counts for pub 5909: {'11': 213, '00': 646, '10': 109, '01': 56}
Counts for pub 5910: {'00': 460, '10': 79, '11': 401, '01': 84}
Counts for pub 5911: {'10': 280, '11': 420, '01': 187, '00': 137}
Counts for pub 5912: {'10': 790, '00': 191, '11': 35, '01': 8}
Counts for pub 5913: {'00': 1011, '01': 7, '10': 6}
Counts for pub 5914: {'00': 811, '11': 107, '10': 75, '01': 31}
Counts for pub 5915: {'00': 356, '10': 455, '11': 102, '01': 111}
Counts for pub 5916: {'11': 526, '01': 433, '10': 34, '00': 31}
Counts for pub 5917: {'11': 624, '01': 313, '00': 58, '10': 29}
Counts for pub 5918: {'11': 627, '01': 170, '00': 97, '10': 130}
Counts for pub 5919: {'11': 800, '01': 141, '10': 37, '00': 46}
Counts for pub 5920: {'11': 536, '01': 452, '00': 18, '10': 18}
Counts for pub 5921: {'01': 548, '10': 217, '11': 89, '00': 170}
Counts for pub 5922: {'11': 233, '01': 562, '00': 85, '10': 144}
Counts for pub 5923: {'11': 463, '00': 187, '10': 124, '01': 250}
Counts for pub 5924: {'00': 775, '11': 128, '01': 97, '10': 24}
Counts for pub 5925: {'11': 186, '10': 271, '00': 459, '01': 108}
Counts for pub 5926: {'01': 109, '10': 268, '00': 446, '11': 201}
Counts for pub 5927: {'00': 169, '01': 150, '11': 376, '10': 329}
Counts for pub 5928: {'00': 456, '11': 190, '01': 127, '10': 251}
Counts for pub 5929: {'00': 931, '10': 9, '01': 39, '11': 45}
Counts for pub 5930: {'01': 330, '00': 52, '11': 584, '10': 58}
Counts for pub 5931: {'11': 570, '01': 332, '00': 55, '10': 67}
Counts for pub 5932: {'10': 291, '01': 197, '11': 184, '00': 352}
Counts for pub 5933: {'00': 895, '11': 21, '10': 77, '01': 31}
Counts for pub 5934: {'10': 508, '01': 56, '11': 355, '00': 105}
Counts for pub 5935: {'11': 442, '01': 266, '10': 121, '00': 195}
Counts for pub 5936: {'01': 354, '11': 563, '00': 44, '10': 63}
Counts for pub 5937: {'10': 421, '01': 191, '11': 239, '00': 173}
Counts for pub 5938: {'10': 743, '11': 183, '00': 43, '01': 55}
Counts for pub 5939: {'11': 701, '10': 177, '00': 35, '01': 111}
Counts for pub 5940: {'11': 659, '01': 71, '10': 225, '00': 69}
Counts for pub 5941: {'01': 181, '11': 670, '10': 84, '00': 89}
Counts for pub 5942: {'01': 225, '11': 235, '10': 315, '00': 249}
Counts for pub 5943: {'11': 650, '00': 153, '01': 167, '10': 54}
Counts for pub 5944: {'00': 545, '11': 259, '01': 143, '10': 77}
Counts for pub 5945: {'10': 815, '01': 131, '11': 33, '00': 45}
Counts for pub 5946: {'11': 529, '10': 14, '01': 469, '00': 12}
Counts for pub 5947: {'10': 791, '00': 35, '11': 40, '01': 158}
Counts for pub 5948: {'11': 431, '00': 104, '10': 89, '01': 400}
Counts for pub 5949: {'00': 422, '10': 288, '01': 123, '11': 191}
Counts for pub 5950: {'01': 242, '11': 240, '00': 261, '10': 281}
Counts for pub 5951: {'01': 700, '11': 286, '10': 17, '00': 21}
Counts for pub 5952: {'01': 338, '00': 272, '11': 208, '10': 206}
Counts for pub 5953: {'00': 533, '10': 308, '01': 110, '11': 73}
